CCODE,CNAME,VENDOR_NO,WORK_ORDER,WO_FROM_DATE,WO_TO_DATE,CVALUE,DURATION,CDURATION,EIC_PRNO,EIC,JOB_DESC,DEPARTMENT,EMPLOYEE_COUNT,CLRA,ISMW,WORKMEN_TOT,EXCESS_CLRA_COUNT,EXCESS_CLRA_CONT_COUNT,STATUS
CT0489,IOCL-SAKTHI MURUGAN TRANSPORTS,,141452,2021-03-31,,NULL,146,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0354,IOCL-SRI DURGAI AMMAN TRANSPORTS,,142034,2021-02-24,,NULL,55,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0471,IOCL-SRI GANAPATHY TRANSPORTS,,143733,2021-02-17,,NULL,48,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,NULL,NULL,NULL,NULL,1
CT0486,IOCL-SRI VIGNESWAR TRANSPORTS,,157319,2021-02-11,2021-05-01,NULL,42,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,NULL,NULL,NULL,NULL,1
CT0509,IOCL-SREE RAM TRANSPORTS,,157362,2021-03-31,,NULL,90,NULL,12345,Mr. BALAKRISHNAN L,OTHERS,OTHERS,NULL,19,5,NULL,NULL,NULL,1
CT0567,IOCL-G.M.S TRANSPORT,,157539,2020-12-31,,NULL,184,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0479,IOCL-SRI ELLAIYAMMAN TRANSPORT,,157859,2021-06-30,,NULL,181,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,NULL,NULL,NULL,NULL,1
CT0514,IOCL-CMR TRANSPORT CONTRACTORS COMPANY PVT LTD,,158532,2021-05-01,,NULL,31,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0499,IOCL-DHIVYA TRANSPORT,,159206,2021-04-30,,NULL,120,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0547,IOCL-PARVATHAM TRANSPORT,,159218,2021-03-31,,NULL,90,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,100,NULL,NULL,NULL,1
CT0448,IOCL-LAKSHMI TRANSPORT,,161319,2020-12-31,,NULL,178,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0480,IOCL-SREE MEENAKSHI TRANSPORT,,185150,2021-03-23,,NULL,82,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,5,NULL,NULL,NULL,1
CT0361,IOCL-PARAMESHWARI TRANSPORTS,,189271,2021-03-18,,NULL,77,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,5,NULL,NULL,NULL,1
CT0482,IOCL-MUTHU TRANSPORT,,189939,2021-02-28,,NULL,59,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,NULL,NULL,NULL,NULL,1
CT0501,IOCL-SAI RAM LOGISTICS,,201019,2021-03-31,,NULL,90,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0481,IOCL-K SNEHA TRANSPORT,,202854,2021-02-20,,NULL,12,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,NULL,NULL,NULL,NULL,1
CT0459,IOCL-SRI DHANALAKSHMI TRANSPORT,,218604,2020-12-31,,NULL,175,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,NULL,NULL,NULL,NULL,1
CT0849,MKTG-SAFE TRANS,,228200,2020-12-31,,NULL,104,NULL,2855,Mr. KUMAR R,OTHERS,OTHERS,NULL,14,5,NULL,NULL,NULL,1
CT0384,ADMIN-TV LORRY SERVICE,,228211,2021-03-31,,NULL,197,NULL,2813,Mr. KALAIVANAN M,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0724,MKTG-MRS ROADWAYS,,228240,2020-12-31,,NULL,112,NULL,2855,Mr. KUMAR R,OTHERS,OTHERS,NULL,14,5,NULL,NULL,NULL,1
CT0554,MKTG-GAJENDRA TRANSPORT,,228345,2021-02-04,,NULL,35,NULL,2855,Mr. KUMAR R,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0442,MKTG-TAMIL NADU PERTOPRODUCTS LIMITED,,228353,2021-01-24,,NULL,24,NULL,2855,Mr. KUMAR R,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0399,MKTG-KOTHARI PETROCHEMICALS LIMITED,,228355,2021-02-25,,NULL,92,NULL,2855,Mr. KUMAR R,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0144,MKTG-CETEX PETRO CHEMICALS LTD,,228356,2021-05-06,,NULL,126,NULL,2813,Mr. KALAIVANAN M,OTHERS,OTHERS,NULL,200,NULL,NULL,NULL,NULL,1
CT0537,MKTG-MANALI PETROCHEMICALS LIMITED,,228357,2021-01-28,,NULL,28,NULL,2813,Mr. KALAIVANAN M,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0594,MKTG-VINAYAK CHEMICALS,,228360,2021-03-09,,NULL,91,NULL,2855,Mr. KUMAR R,OTHERS,OTHERS,NULL,19,NULL,NULL,NULL,NULL,1
CT0456,MKTG-SHIVA ENTERPRICES,,228367,2021-01-11,,NULL,11,NULL,2855,Mr. KUMAR R,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT1087,MKTG-RAJ BULK CARRIER,,228590,2021-01-20,,NULL,89,NULL,3187,SUBRAMANI S,GENERAL,GENERAL,NULL,19,5,NULL,NULL,NULL,1
CT0356,IOCL-A FAZAL RAHMAN,,230926,2021-02-26,,NULL,57,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0483,IOCL-SHRI RUCKMANII TRANSPORT,,233417,2021-03-31,,NULL,90,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
